model,graph_type,method,Full_Parse_OK_Count,Avg_Compliance,Avg_Coverage,Class_Compliance,Class_Coverage,Distinct_classes_used,Distinct_properties_used,Invalid_triples,Property_Compliance,Property_Coverage,Total_triples_in_KG,Valid_triples
gpt-4.1-nano,action,d2kg,5,0.27535714285714286,0.17916666666666664,0.3416666666666667,0.18333333333333332,1.5,3.3,13.1,0.20904761904761907,0.175,53.0,39.9
gpt-4.1-nano,action,d2kg-rag,2,0.0,0.0,0.0,0.0,0.6,2.9,13.2,0.0,0.0,29.3,16.1
gpt-4.1-nano,action,i2kg,4,0.2958333333333333,0.23541666666666666,0.35,0.23333333333333334,1.8,3.1,14.3,0.24166666666666664,0.2375,34.9,20.6
gpt-4.1-nano,observation,d2kg,8,0.1825,0.25,0.0,0.0,4.3,4.3,5.5,0.365,0.5,91.4,85.9
gpt-4.1-nano,observation,d2kg-rag,5,0.0,0.0,0.0,0.0,10.6,8.3,9.5,0.0,0.0,51.5,42.0
gpt-4.1-nano,observation,i2kg,6,0.3145833333333333,0.31249999999999994,0.2833333333333333,0.225,3.6,4.3,10.4,0.3458333333333333,0.4,47.5,37.1
gpt-o1,action,d2kg,10,0.9375,0.8541666666666667,1.0,0.8333333333333334,6.9,8.0,0.0,0.875,0.875,247.9,247.9
gpt-o1,action,d2kg-rag,10,0.0,0.0,0.0,0.0,3.5,6.1,0.0,0.0,0.0,135.3,135.3
gpt-o1,action,i2kg,10,0.935138888888889,0.8729166666666668,1.0,0.8333333333333334,6.9,8.4,0.0,0.8702777777777777,0.9125,157.5,157.5
gpt-o1,observation,d2kg,10,0.8658333333333333,0.7124999999999999,0.9633333333333333,0.725,5.8,4.8,0.0,0.7683333333333333,0.7,106.7,106.7
gpt-o1,observation,d2kg-rag,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-o1,observation,i2kg,10,0.9016666666666667,0.8875,1.0,0.775,5.5,5.1,0.0,0.8033333333333333,1.0,105.2,105.2
llama4-maverick,action,d2kg,10,0.9141666666666666,0.8854166666666667,1.0,0.8333333333333334,6.4,9.1,0.0,0.8283333333333334,0.9375,85.8,85.8
llama4-maverick,action,d2kg-rag,10,0.8971825396825397,0.89375,1.0,0.9,7.3,8.9,0.0,0.7943650793650794,0.8875,101.0,101.0
llama4-maverick,action,dpe,10,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,12.0,12.0
llama4-maverick,action,i2kg,10,0.8767460317460317,0.8291666666666668,1.0,0.8333333333333334,5.6,8.8,0.0,0.7534920634920634,0.825,87.5,87.5
llama4-maverick,observation,d2kg,10,0.8462500000000001,0.7875,0.9133333333333333,0.575,5.2,7.1,0.0,0.7791666666666667,1.0,96.2,96.2
llama4-maverick,observation,d2kg-rag,10,0.8392857142857142,0.7583333333333333,0.9466666666666667,0.65,5.5,6.2,0.0,0.7319047619047618,0.8666666666666666,89.3,89.3
llama4-maverick,observation,dpe,10,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,15.2,15.2
llama4-maverick,observation,i2kg,10,0.8857142857142858,0.7875,0.9433333333333334,0.575,5.3,5.9,0.0,0.8280952380952382,1.0,82.3,82.3
llama4-scout,action,d2kg,6,0.5028030303030302,0.49375,0.6,0.5,3.6,5.8,25.9,0.4056060606060606,0.4875,85.5,59.6
llama4-scout,action,d2kg-rag,7,0.5350198412698413,0.40625,0.7,0.45,3.9,5.6,8.2,0.3700396825396825,0.3625,101.5,93.3
llama4-scout,action,dpe,10,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,40.3,40.3
llama4-scout,action,i2kg,6,0.549404761904762,0.3958333333333333,0.6,0.36666666666666664,2.7,4.1,26.1,0.4988095238095238,0.425,61.9,35.8
llama4-scout,observation,d2kg,8,0.5439321789321789,0.5958333333333333,0.6292063492063493,0.425,5.4,7.3,8.3,0.45865800865800865,0.7666666666666667,101.4,93.1
llama4-scout,observation,d2kg-rag,8,0.5643452380952381,0.4875,0.7166666666666667,0.475,3.8,7.7,6.1,0.4120238095238095,0.5,98.2,92.1
llama4-scout,observation,dpe,10,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,26.1,26.1
llama4-scout,observation,i2kg,7,0.5401388888888888,0.4958333333333333,0.7,0.425,3.7,4.6,43.0,0.3802777777777778,0.5666666666666667,85.2,42.2
llava-llama3,action,d2kg,10,0.9068055555555554,0.8791666666666668,1.0,0.8333333333333334,6.4,9.1,0.0,0.8136111111111111,0.925,95.2,95.2
llava-llama3,action,d2kg-rag,10,0.8636309523809522,0.6854166666666666,1.0,0.6333333333333333,4.2,8.0,0.0,0.7272619047619048,0.7375,66.4,66.4
llava-llama3,action,dpe,9,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,35.4,35.4
llava-llama3,action,i2kg,2,0.0,0.0,0.0,0.0,0.3,1.9,8.8,0.0,0.0,17.4,8.6
llava-llama3,observation,d2kg,9,0.7416071428571429,0.6708333333333333,0.8666666666666666,0.575,4.0,5.4,5.8,0.616547619047619,0.7666666666666666,71.8,66.0
llava-llama3,observation,d2kg-rag,10,0.8148809523809524,0.7208333333333333,0.975,0.675,3.4,5.7,0.0,0.6547619047619048,0.7666666666666666,80.7,80.7
llava-llama3,observation,dpe,10,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,16.1,16.1
llava-llama3,observation,i2kg,1,0.0,0.0,0.0,0.0,1.3,1.0,20.6,0.0,0.0,24.7,4.1
